date,open,high,low,close,volume,amount
2019-02-19,1419.036,1427.135,1391.566,1406.037,10282450551,14457505925376.387
2019-02-20,1406.991,1417.889,1387.903,1408.382,8592876227,12102052206334.715
2019-02-21,1405.518,1452.385,1401.771,1412.535,10641962527,15032144538075.945
2019-02-22,1409.861,1456.305,1407.288,1456.299,9839032129,14328572650430.57
2019-02-25,1487.304,1538.158,1481.172,1536.371,14633660693,22482731912565.105
2019-02-26,1549.24,1581.834,1532.44,1546.987,15454872908,23908487475328.195
2019-02-27,1544.163,1555.586,1503.677,1520.419,12257320185,18636262498357.516
2019-02-28,1522.631,1549.327,1519.756,1535.68,9804351952,15056347205647.361
2019-03-01,1558.898,1568.319,1532.454,1567.873,9385027886,14714531826706.479
2019-03-04,1596.554,1651.014,1593.256,1619.71,13995693187,22668964211915.77
2019-03-05,1615.592,1676.566,1613.498,1676.566,14156227599,23733849880745.035
2019-03-06,1684.972,1704.1,1661.011,1700.496,16240873538,27617540487874.848
2019-03-07,1699.6,1719.145,1666.373,1692.416,16451568698,27842898089594.367
2019-03-08,1647.848,1718.384,1635.45,1654.485,17086233045,28268916279456.824
2019-03-11,1673.405,1728.331,1656.14,1727.801,14876438462,25703525251082.062
2019-03-12,1733.427,1789.155,1733.427,1773.432,17556548344,31135344642796.61
2019-03-13,1769.547,1769.547,1682.359,1693.86,15288968556,25897372278266.16
2019-03-14,1676.614,1700.516,1628.635,1650.186,11846669339,19549207889847.055
2019-03-15,1667.778,1685.079,1642.698,1662.623,9873444127,16415815294765.121
2019-03-18,1671.28,1707.056,1652.882,1707.056,9533293619,16273866072075.664
2019-03-19,1706.194,1730.351,1693.542,1708.874,9855341190,16841536320720.06
2019-03-20,1701.731,1705.59,1654.303,1687.9,10029938499,16929533192462.102
2019-03-21,1683.55,1716.445,1677.655,1703.854,11779289550,20070189616925.7
2019-03-22,1703.966,1703.966,1660.331,1693.865,10037013507,17001345884034.555
2019-03-25,1662.757,1695.094,1658.447,1668.841,10437572551,17418649013583.39
2019-03-26,1680.776,1684.359,1627.227,1630.19,10460071039,17051903207067.41
2019-03-27,1640.205,1645.564,1616.6,1637.773,8792809711,14400626338813.602
2019-03-28,1632.038,1659.945,1624.007,1626.819,8619370604,14022155866628.676
2019-03-29,1633.38,1693.547,1628.743,1693.547,10011456445,16954872028060.416
2019-04-01,1710.158,1766.367,1710.158,1760.892,12165099669,21421426686344.75
2019-04-02,1771.687,1774.979,1747.442,1754.156,13152982388,23072382973804.527
2019-04-03,1743.993,1769.756,1739.142,1768.178,11133459698,19685938501890.246
2019-04-04,1780.276,1784.472,1761.047,1777.263,11591709176,20601515825265.285
2019-04-08,1787.957,1792.028,1720.003,1739.655,11908202432,20716163901840.96
2019-04-09,1734.177,1753.523,1721.319,1741.171,9851149911,17152536541685.781
2019-04-10,1727.972,1740.849,1714.641,1726.636,11603625537,20035237582703.53
2019-04-11,1727.219,1732.615,1688.102,1691.104,10354543778,17510610401150.912
2019-04-12,1692.428,1702.351,1683.292,1695.729,8359927800,14176172008366.201
2019-04-15,1721.637,1726.204,1666.652,1666.897,8921062350,14870492068027.95
2019-04-16,1656.762,1697.529,1638.297,1697.529,9543865007,16200987621467.703
2019-04-17,1699.194,1729.209,1697.966,1717.437,10737677262,18441284223817.492
2019-04-18,1715.179,1719.964,1702.928,1704.547,9934077625,16933102213460.875
2019-04-19,1704.722,1715.795,1692.49,1715.795,9560764499,16404311923561.705
2019-04-22,1720.776,1723.557,1690.635,1697.512,10266245983,17427075751094.295
2019-04-23,1695.268,1706.077,1677.728,1683.8,9303337582,15664959820571.6
2019-04-24,1690.279,1721.421,1676.638,1718.846,8633615349,14839855208167.254
2019-04-25,1709.829,1723.662,1669.236,1669.978,10348854611,17282359525568.559
2019-04-26,1664.043,1682.458,1653.691,1657.824,8229568690,13643176483930.56
2019-04-29,1658.192,1661.059,1611.216,1615.616,8978837521,14506353560327.936
2019-04-30,1612.109,1634.712,1608.721,1623.782,6708971653,10893907408651.645
2019-05-06,1551.719,1563.611,1487.452,1494.886,8103118303,12113238107498.457
2019-05-07,1506.972,1523.659,1474.498,1504.164,7141408161,10741849065082.404
2019-05-08,1469.238,1515.156,1465.088,1481.873,6921226699,10256378972127.227
2019-05-09,1470.977,1491.378,1466.973,1469.475,6228192463,9152173119566.924
2019-05-10,1489.186,1535.164,1463.194,1533.871,8887892455,13632880487843.307
2019-05-13,1513.961,1523.877,1494.48,1503.065,6828417860,10263555890740.9
2019-05-14,1492.902,1517.666,1491.438,1494.603,6645175298,9931898935916.695
2019-05-15,1509.452,1533.728,1503.672,1528.691,7086525638,10833107964079.857
2019-05-16,1528.627,1537.592,1515.613,1533.67,7120674433,10920764757659.111
2019-05-17,1537.446,1537.446,1472.458,1478.748,8584956296,12694986952797.408
2019-05-20,1478.201,1481.189,1450.28,1469.311,6979073458,10254429401647.438
2019-05-21,1469.969,1504.214,1465.877,1493.716,7113976191,10626260060115.756
2019-05-22,1493.657,1503.811,1477.459,1488.627,7510470755,11180289548603.385
2019-05-23,1486.95,1486.95,1449.142,1451.245,7931530518,11510594006594.908
2019-05-24,1452.043,1465.236,1437.928,1443.747,6501483365,9386497103768.656
2019-05-27,1447.98,1496.789,1445.792,1491.952,7431505741,11087449853296.432
2019-05-28,1497.117,1506.775,1483.756,1505.163,7552587191,11367874794167.133
2019-05-29,1492.579,1507.176,1488.044,1497.892,6691769357,10023547785695.445
2019-05-30,1494.349,1495.24,1466.832,1485.242,6981226777,10368811220725.033
2019-05-31,1487.276,1498.244,1474.525,1483.658,6546527860,9712808431711.879
2019-06-03,1489.429,1499.006,1466.273,1468.982,7176835555,10542642247255.01
2019-06-04,1467.586,1476.209,1448.001,1456.268,6383158886,9295590024597.447
2019-06-05,1471.954,1475.542,1448.994,1451.177,6298045899,9139579353573.123
2019-06-06,1450.1,1450.1,1411.614,1416.055,6218725244,8806056975392.42
2019-06-10,1422.343,1441.173,1410.57,1431.337,5422546758,7761491808955.446
2019-06-11,1432.949,1488.927,1430.088,1487.35,8344225598,12410783943185.299
2019-06-12,1481.42,1486.603,1467.537,1473.901,7591636549,11189320701207.65
2019-06-13,1474.553,1485.715,1464.843,1479.83,7501326276,11100687663013.08
2019-06-14,1478.527,1489.467,1451.656,1453.958,7476838097,10871008565837.926
2019-06-17,1450.559,1459.207,1437.136,1442.348,5699768565,8221049790190.62
2019-06-18,1443.649,1460.189,1437.043,1455.746,5378940044,7830370453292.824
2019-06-19,1501.254,1504.414,1469.589,1469.987,7799308965,11464882787533.455
2019-06-20,1469.814,1507.622,1463.823,1498.014,8367003848,12533888902357.871
2019-06-21,1531.386,1534.491,1515.907,1523.809,10389465300,15831560729327.7
2019-06-24,1526.696,1526.696,1507.688,1514.465,8848598404,13400892581913.86
2019-06-25,1512.927,1512.927,1480.268,1498.465,8351868059,12514981971029.434
2019-06-26,1490.564,1511.534,1487.755,1504.549,7231776847,10880562623377.002
2019-06-27,1510.091,1529.722,1507.97,1525.244,8272001765,12616821060055.66
2019-06-28,1523.792,1523.792,1501.632,1511.507,7633352139,11537865191563.473
2019-07-01,1545.061,1568.399,1534.555,1568.16,9558857181,14989817476956.96
2019-07-02,1565.987,1577.028,1560.599,1570.512,8537333905,13407985345809.36
2019-07-03,1566.301,1566.301,1538.367,1544.357,7158316348,11054995960248.236
2019-07-04,1548.558,1551.141,1525.293,1532.744,6588763337,10098887472206.727
2019-07-05,1535.481,1551.936,1532.863,1547.737,5698112719,8819179885366.904
2019-07-08,1547.598,1547.598,1495.227,1506.661,7198584152,10845825997036.473
2019-07-09,1507.386,1521.71,1501.741,1517.793,5183766125,7867883938162.124
2019-07-10,1521.946,1523.806,1504.659,1510.435,5129122497,7747206138756.194
2019-07-11,1522.807,1531.637,1507.705,1514.199,5340062451,8085917223241.749
2019-07-12,1517.039,1525.691,1506.703,1518.074,5220377796,7924919802284.904
2019-07-15,1512.768,1556.046,1496.813,1547.468,7141314139,11050955108050.053
2019-07-16,1545.337,1551.992,1538.619,1545.273,5705520045,8816586076497.285
2019-07-17,1544.421,1563.048,1541.37,1550.217,6231951342,9660876913541.215
2019-07-18,1542.433,1542.661,1524.479,1524.479,5863221388,8938357878356.852
2019-07-19,1532.377,1552.741,1532.377,1541.981,5448272107,8401132071823.967
2019-07-22,1545.913,1545.927,1511.521,1515.965,5946066043,9014028008876.494
2019-07-23,1519.629,1535.043,1516.858,1534.926,4881554304,7492824621621.504
2019-07-24,1539.232,1562.13,1538.671,1553.718,6218276403,9661447976316.354
2019-07-25,1552.853,1567.329,1549.491,1566.077,5825003886,9122404610775.223
2019-07-26,1562.203,1565.437,1552.39,1561.855,4968258290,7759699051527.95
2019-07-29,1561.269,1566.744,1556.385,1566.524,4973931095,7791782434663.779
2019-07-30,1568.162,1593.694,1566.6,1580.129,5605677333,8857693318515.957
2019-07-31,1577.196,1578.754,1567.995,1570.393,4967839155,7801459834137.915
2019-08-01,1562.533,1578.859,1561.201,1573.866,5323874314,8379064771077.924
2019-08-02,1539.92,1559.121,1536.402,1556.744,6174125993,9611533594846.791
2019-08-05,1552.35,1566.73,1531.372,1531.372,5599876841,8575494597755.853
2019-08-06,1501.396,1517.676,1478.543,1507.911,7414242426,11180017710832.086
2019-08-07,1520.582,1523.618,1500.074,1500.251,5185535948,7779605491522.948
2019-08-08,1512.272,1526.182,1511.343,1522.974,4863247072,7406598846232.128
2019-08-09,1532.975,1536.252,1504.893,1507.706,5338919125,8049520398277.249
2019-08-12,1511.32,1539.913,1506.68,1539.913,5131308299,7901768356637.987
2019-08-13,1526.078,1535.98,1519.013,1524.357,4804189470,7323299847920.79
2019-08-14,1546.209,1551.444,1534.848,1536.66,5821958684,8946371031355.441
2019-08-15,1507.954,1556.012,1505.429,1555.773,6148583352,9565799967291.096
2019-08-16,1554.719,1584.379,1553.821,1567.993,6469398395,10143971397571.234
2019-08-19,1586.009,1622.844,1581.708,1622.844,8962055420,14544017866014.48
2019-08-20,1624.801,1630.316,1607.405,1611.593,8391154095,13523125201423.336
2019-08-21,1614.302,1616.077,1605.401,1609.833,6762149124,10885930810736.293
2019-08-22,1614.127,1615.611,1599.309,1613.458,6881003569,11102210256431.604
2019-08-23,1614.543,1623.187,1605.014,1615.559,7119982989,11502752597725.852
2019-08-26,1588.553,1608.196,1587.896,1600.795,6666591874,10671846938939.83
2019-08-27,1611.902,1646.87,1610.003,1628.121,8085836861,13164720795968.182
2019-08-28,1629.986,1632.694,1617.252,1625.188,7556157565,12280176600747.22
2019-08-29,1625.955,1632.957,1615.572,1620.861,7711826650,12499799055745.65
2019-08-30,1630.052,1637.264,1600.453,1610.898,8976472454,14460181523203.691
2019-09-02,1614.029,1655.419,1610.811,1652.288,8592027961,14196504695624.768
2019-09-03,1656.05,1662.375,1646.924,1660.427,8887671159,14757329159524.893
2019-09-04,1656.59,1669.41,1650.035,1669.41,8885206192,14833052068986.72
2019-09-05,1682.438,1708.971,1682.438,1689.054,11598255263,19590079444991.203
2019-09-06,1699.664,1700.192,1674.667,1692.239,9428686856,15955591616510.584
2019-09-09,1702.986,1733.23,1691.941,1733.23,11239712033,19481006086956.59
2019-09-10,1733.628,1734.973,1715.75,1725.308,10976119782,18937187268842.855
2019-09-11,1730.35,1736.178,1700.908,1703.538,9446474497,16092428271670.387
2019-09-12,1713.591,1715.335,1695.295,1710.572,8248589389,14109806048320.508
2019-09-16,1715.922,1723.112,1703.377,1714.368,9338067475,16008884060980.799
2019-09-17,1710.767,1710.767,1671.073,1677.987,9594615956,16099640844160.572
2019-09-18,1683.148,1687.114,1668.657,1679.306,7779799396,13064663804499.176
2019-09-19,1684.933,1706.864,1676.504,1705.599,7793958537,13293367886748.662
2019-09-20,1709.226,1716.84,1701.402,1705.047,8186138336,13957750611381.793
2019-09-23,1699.344,1699.344,1669.887,1684.324,7822722278,13175998878170.072
2019-09-24,1685.12,1706.822,1678.183,1694.596,8525893669,14447945307912.725
2019-09-25,1686.19,1689.234,1670.684,1672.646,8368681242,13997841204706.332
2019-09-26,1677.793,1680.925,1623.651,1623.791,8538948842,13865468279100.021
2019-09-27,1628.14,1653.057,1624.748,1647.533,6698973902,11036780569683.766
2019-09-30,1648.896,1651.869,1626.054,1627.545,5710067611,9293391989944.996
2019-10-08,1631.915,1638.716,1615.163,1616.584,5613070809,9074000460696.457
2019-10-09,1613.021,1623.184,1601.809,1622.415,5450743358,8843367785169.57
2019-10-10,1632.218,1668.174,1627.433,1666.966,6545411947,10910979171642.8
2019-10-11,1667.954,1675.736,1654.564,1666.834,7314265402,12191666257077.268
2019-10-14,1678.79,1690.94,1671.094,1679.378,8175529442,13729804283247.076
2019-10-15,1676.243,1676.243,1659.107,1660.887,8482438629,14088372047203.922
2019-10-16,1660.996,1671.768,1655.304,1656.372,7138431574,11823898183089.53
2019-10-17,1657.931,1664.096,1652.425,1658.259,6293249490,10435837606037.91
2019-10-18,1662.611,1674.916,1644.268,1648.625,6962179258,11478022779220.25
2019-10-21,1651.288,1651.288,1628.928,1644.508,6572768660,10808970643519.28
2019-10-22,1649.761,1667.213,1647.308,1666.869,6678519083,11132216425361.127
2019-10-23,1668.709,1672.434,1646.985,1650.29,6731797982,11109418891714.78
2019-10-24,1650.787,1658.389,1640.161,1653.865,6389484008,10567343968890.92
2019-10-25,1655.29,1677.026,1649.14,1675.34,6639359428,11123184424105.52
2019-10-28,1687.373,1704.781,1684.105,1704.417,9221407907,15717124400625.219
2019-10-29,1702.155,1706.307,1686.58,1686.58,9822598643,16566598419310.94
2019-10-30,1684.597,1689.832,1672.103,1684.078,7807373598,13148226114172.645
2019-10-31,1688.42,1693.387,1669.333,1671.312,6801032227,11366646773371.824
2019-11-01,1667.856,1688.711,1663.614,1686.998,6458325297,10895181859388.406
2019-11-04,1689.578,1707.107,1688.999,1699.919,6732100055,11444024793395.545
2019-11-05,1704.063,1718.184,1695.401,1713.289,6474853165,11093294704209.686
2019-11-06,1720.68,1721.096,1696.788,1703.017,6429677361,10949849850298.137
2019-11-07,1698.634,1724.371,1695.337,1715.575,6174693899,10593150485776.926
2019-11-08,1724.402,1731.003,1709.959,1711.216,6583968052,11266591474071.23
2019-11-11,1699.172,1700.277,1671.667,1673.129,6544850378,10950378968092.762
2019-11-12,1676.427,1679.728,1654.913,1671.442,5692094358,9514005577924.236
2019-11-13,1673.546,1683.63,1666.571,1681.794,5131766739,8630574511049.767
2019-11-14,1682.87,1696.728,1681.074,1692.583,5477958065,9271898695531.895
2019-11-15,1692.084,1695.973,1674.784,1674.784,6172254535,10337193139145.441
2019-11-18,1671.594,1683.456,1665.106,1682.492,5222499728,8786814012362.176
2019-11-19,1685.752,1729.161,1683.57,1729.078,6736735507,11648341156972.545
2019-11-20,1730.034,1745.094,1717.009,1719.665,6931126712,11919216017191.48
2019-11-21,1713.444,1726.762,1706.885,1713.202,5608605719,9608674535002.238
2019-11-22,1721.882,1736.83,1670.927,1679.803,7244837892,12169900425495.277
2019-11-25,1682.226,1684.448,1652.541,1661.774,5974892484,9928920982706.615
2019-11-26,1667.784,1679.727,1659.028,1679.082,5544395886,9309495333056.652
2019-11-27,1671.146,1686.49,1659.005,1674.389,5286913351,8852349558867.54
2019-11-28,1675.172,1683.247,1668.159,1673.795,4959108245,8300530584939.775
2019-11-29,1670.391,1673.234,1647.288,1664.896,4929876580,8207731798535.68
2019-12-02,1670.156,1680.241,1665.113,1669.536,5071115436,8466409780557.696
2019-12-03,1664.785,1675.425,1647.67,1675.385,5483903964,9187650442726.14
2019-12-04,1666.599,1683.788,1663.932,1673.779,5255554447,8796636666745.213
2019-12-05,1681.249,1714.08,1679.402,1709.826,6342804210,10845091551167.46
2019-12-06,1711.636,1726.801,1707.217,1726.801,6652591834,11487702231543.033
2019-12-09,1733.478,1734.059,1715.39,1721.071,7098244977,12216583580810.367
2019-12-10,1715.712,1734.024,1711.009,1734.022,7597459313,13174161592846.885
2019-12-11,1730.399,1733.739,1713.895,1718.26,7799558735,13401669792001.1
2019-12-12,1720.419,1733.746,1716.781,1720.986,7803103610,13429032069359.46
2019-12-13,1738.558,1757.748,1733.123,1755.413,8197253937,14389566125310.98
2019-12-16,1760.795,1780.333,1752.006,1780.333,9606663084,17103059308326.973
2019-12-17,1782.985,1807.949,1780.52,1801.616,10896172705,19630719084091.28
2019-12-18,1798.4,1804.378,1787.233,1792.418,10532141569,18878000126823.84
2019-12-19,1792.709,1797.024,1781.029,1790.438,10037698486,17971876801876.867
2019-12-20,1792.045,1798.382,1771.707,1771.707,9529423174,16883345743338.02
2019-12-23,1763.727,1775.015,1735.724,1736.624,8357813477,14514379471681.648
2019-12-24,1742.895,1769.885,1742.864,1769.869,7207888066,12757017643483.354
2019-12-25,1766.223,1787.504,1764.809,1784.395,8174797727,14587068190070.164
2019-12-26,1784.427,1793.635,1777.695,1793.635,7738871826,13880711367627.51
2019-12-27,1795.41,1805.191,1767.173,1767.582,9107574857,16098385380885.775
2019-12-30,1763.58,1790.912,1749.165,1790.239,7932842693,14201684369873.627
2019-12-31,1790.796,1804.82,1787.451,1798.118,7018562453,12620203480863.453
2020-01-02,1811.22,1839.41,1797.542,1832.742,10430880972,19117113654385.223
2020-01-03,1836.864,1842.558,1821.667,1836.012,10227894765,18778537523277.18
2020-01-06,1825.552,1876.464,1824.346,1859.921,12388259753,23041184468059.51
