date,open,high,low,close,pct_change,volume,amount,turnover,sh_close,sz_close,cyb_close,hs300_close,broker_close,market_amount,stock_return,sh_return,sz_return,cyb_return,hs300_return,broker_return,market_amount_change,stock_volume_change,stock_turnover_change,atr20,volatility20,broker_trend20,market_trend20,amount_trend5
2021-04-08,26.8,27.7,26.62,27.19,1.2662942271880917,461917.0,70037667.0,2.867020871503786,3482.555,13989.939,2826.99,5112.209,788.737,634717352882245.4,0.012662942271880917,0.0008417571313696914,0.0007603379565945811,0.007049370529577326,0.0016587825836840153,0.003926674914593198,0.06372172272998555,0.6630255943144547,0.6630255943144547,1.0379999999999998,0.022354799458447098,0.0006420707434837691,0.00815391009533828,0.13293570732880133
2021-04-09,27.19,27.19,26.49,26.53,-2.4273630011033442,340379.0,50605598.0,2.112660277109496,3450.677,13813.31,2783.327,5035.337,780.429,552337326323397.25,-0.024273630011033442,-0.009153624278726347,-0.012625430318173758,-0.01544504932808377,-0.015036943912112966,-0.010533295635934414,-0.1297900966229476,-0.263116533922761,-0.263116533922761,1.0294999999999999,0.022436517848565155,-0.009002328199274157,-0.006095415125962678,-0.025624478092398095
2021-04-12,26.27,26.48,25.54,25.58,-3.5808518658122956,376081.0,54395633.0,2.3342550206552595,3412.948,13495.718,2719.953,4947.746,764.767,589405469845234.0,-0.035808518658122956,-0.010933796469504431,-0.02299173767909346,-0.02276915360645737,-0.017395260734286544,-0.020068449532244292,0.06711142223282063,0.10488896200999465,0.10488896200999487,1.001,0.023404249135065145,-0.02703058243027412,-0.021466358692265985,0.020974015401056256
2021-04-13,25.6,25.9,25.37,25.58,0.0,256831.0,36526386.0,1.594095557100494,3396.47,13528.313,2742.852,4939.644,763.082,540292985755923.25,0.0,-0.004828084107932562,0.002415210513438293,0.00841889547356156,-0.0016375133242489959,-0.002203285445109504,-0.08332546371211436,-0.31708594691037306,-0.31708594691037306,0.9454999999999998,0.02126641798145069,-0.028240214344880554,-0.02214139328228648,-0.0727602229661437
2021-04-14,25.37,26.06,25.37,25.86,1.094605160281481,309862.0,44255741.0,1.9232477291069743,3416.721,13738.001,2804.409,4980.628,772.161,532248220222348.44,0.01094605160281481,0.005962366810247088,0.015499937057931845,0.022442698330059407,0.008296954193459882,0.011897803905740023,-0.014889635337981266,0.20648208354910436,0.20648208354910436,0.9489999999999998,0.021401078143844943,-0.016196814913283286,-0.013063636181784188,-0.06590388368400246
2021-04-15,25.6,25.61,25.16,25.54,-1.2374323279195631,344941.0,48543496.0,2.140975643757185,3398.988,13680.269,2790.644,4948.974,765.018,537144371017843.9,-0.012374323279195631,-0.005190063806790213,-0.004202358116002447,-0.004908342542047306,-0.006355423452624742,-0.009250661455318165,0.009198998905905365,0.1132084605404986,0.11320846054049882,0.9369999999999997,0.021076664465001664,-0.024201839801819447,-0.017858079310272057,-0.02388087537236183
2021-04-16,25.54,26.3,25.36,26.26,2.8191072826938335,411502.0,59371121.0,2.5541056567858536,3426.618,13720.743,2783.373,4966.181,770.502,569628426632623.1,0.028191072826938335,0.00812889012847351,0.0029585675544829826,-0.002605491778958413,0.003476882279033866,0.007168458781361853,0.06047546500994638,0.19296343432645013,0.1929634343264499,0.9524999999999999,0.02228716896948634,-0.016395137749322553,-0.012723160964711377,0.028685701260117158
2021-04-19,27.0,28.57,26.66,28.41,8.187357197258184,997766.0,153954232.0,6.1929219900476635,3477.549,14117.798,2898.729,5087.017,790.659,650793622802466.2,0.08187357197258183,0.014863343389896366,0.02893830166485878,0.04144467881236169,0.024331775261513977,0.02616086655193639,0.1424879664971319,1.4246929541047186,1.4246929541047186,1.0219999999999998,0.029229455923908545,0.008410981625549097,0.010496233833331203,0.14976832810970464
2021-04-20,28.3,28.77,27.43,27.46,-3.343892995424147,670821.0,104803665.0,4.163643702316739,3472.943,14101.902,2896.108,5083.365,782.564,632011366026184.4,-0.03343892995424147,-0.0013244960746777723,-0.0011259546283350907,-0.0009041893878315443,-0.0007179059948099198,-0.010238294890717814,-0.028860542141456724,-0.32767703048610597,-0.32767703048610597,1.017,0.02942502227680943,-0.0014487060631096504,0.009507966730730288,0.08153491100532761
2021-04-21,27.34,28.17,27.08,27.53,0.25491624180626893,410121.0,63141163.0,2.5455340826209127,3472.93,14151.146,2916.975,5098.745,780.116,562120118101687.25,0.0025491624180626893,-3.7432229669231987e-06,0.0034920112194796182,0.00720518709937612,0.0030255549227726775,-0.0031281786537586953,-0.1105854288095216,-0.3886282629792448,-0.3886282629792449,1.0095,0.02926390334056435,-0.003650312315567006,0.011663241079145292,-0.04780208498078231
2021-04-22,27.31,27.95,27.31,27.37,-0.5811841627315628,342737.0,52572785.0,2.1272958831058246,3465.114,14209.441,2939.395,5089.244,782.8,547205679424533.3,-0.005811841627315628,-0.002250549248041245,0.004119454353732177,0.007686044618140375,-0.0018633997189504425,0.0034405139748447944,-0.026532476239279346,-0.16430273016987673,-0.16430273016987662,0.9515,0.029262723215595147,0.0007937439907468313,0.008172231856253598,-0.0762151139346453
