date,equity,position,return,drawdown,stock_buy_hold,hs300_buy_hold
2022-02-09,1.3973303092100475,0,0.0,-0.010208610741233914,5.089041095890411,1.3828623627076755
2022-02-10,1.3973303092100475,0,0.0,-0.010208610741233914,5.006849315068493,1.3792364095870462
2022-02-11,1.3973303092100475,0,0.0,-0.010208610741233914,4.942922374429224,1.3678014887275307
2022-02-14,1.3973303092100475,0,0.0,-0.010208610741233914,4.283105022831051,1.3530256851722655
2022-02-15,1.3973303092100475,0,0.0,-0.010208610741233914,4.262557077625571,1.3674174313876508
2022-02-16,1.3973303092100475,0,0.0,-0.010208610741233914,4.280821917808219,1.3727341880293606
2022-02-17,1.3973303092100475,0,0.0,-0.010208610741233914,4.289954337899544,1.3760563434709212
2022-02-18,1.3973303092100475,0,0.0,-0.010208610741233914,4.219178082191781,1.3826171248551982
2022-02-21,1.3973303092100475,0,0.0,-0.010208610741233914,4.075342465753425,1.3775869249283832
2022-02-22,1.3973303092100475,0,0.0,-0.010208610741233914,3.954337899543379,1.3597035862097258
2022-02-23,1.3973303092100475,0,0.0,-0.010208610741233914,4.114155251141552,1.3742377190085493
2022-02-24,1.3973303092100475,0,0.0,-0.010208610741233914,4.066210045662101,1.3463763209030937
2022-02-25,1.3973303092100475,0,0.0,-0.010208610741233914,4.116438356164384,1.3594871823835395
2022-02-28,1.3973303092100475,0,0.0,-0.010208610741233914,4.166666666666667,1.3619309404262263
2022-03-01,1.3973303092100475,0,0.0,-0.010208610741233914,4.276255707762557,1.3732386348604566
2022-03-02,1.3973303092100475,0,0.0,-0.010208610741233914,4.226027397260275,1.3610257898070823
2022-03-03,1.3973303092100475,0,0.0,-0.010208610741233914,4.166666666666667,1.3530078496920852
2022-03-04,1.3973303092100475,0,0.0,-0.010208610741233914,4.050228310502283,1.3365998024423313
2022-03-07,1.3973303092100475,0,0.0,-0.010208610741233914,3.8767123287671237,1.2938980957949586
2022-03-08,1.3973303092100475,0,0.0,-0.010208610741233914,3.874429223744292,1.2679216106865439
2022-03-09,1.3973303092100475,0,0.0,-0.010208610741233914,3.780821917808219,1.2563151719592958
2022-03-10,1.3973303092100475,0,0.0,-0.010208610741233914,3.8242009132420094,1.2760801538369617
2022-03-11,1.3973303092100475,0,0.0,-0.010208610741233914,3.833333333333333,1.2801481296080564
2022-03-14,1.3973303092100475,0,0.0,-0.010208610741233914,3.6621004566210043,1.2409802261003822
2022-03-15,1.3973303092100475,0,0.0,-0.010208610741233914,3.5570776255707766,1.1842199994589904
2022-03-16,1.3973303092100475,0,0.0,-0.010208610741233914,3.9269406392694064,1.2354283383782971
2022-03-17,1.3973303092100475,0,0.0,-0.010208610741233914,4.025114155251141,1.2596890502933786
2022-03-18,1.3973303092100475,0,0.0,-0.010208610741233914,4.050228310502283,1.2680735095260784
2022-03-21,1.3973303092100475,0,0.0,-0.010208610741233914,3.901826484018265,1.2659463312565897
2022-03-22,1.3973303092100475,0,0.0,-0.010208610741233914,3.9132420091324205,1.2649204938882268
2022-03-23,1.3973303092100475,0,0.0,-0.010208610741233914,3.9337899543379,1.2712289032279542
2022-03-24,1.3973303092100475,0,0.0,-0.010208610741233914,3.9497716894977173,1.263734731714248
2022-03-25,1.3973303092100475,0,0.0,-0.010208610741233914,3.833333333333333,1.2409255306278295
2022-03-28,1.3973303092100475,0,0.0,-0.010208610741233914,3.8150684931506853,1.23316471868543
2022-03-29,1.3973303092100475,0,0.0,-0.010208610741233914,3.7694063926940644,1.2289073895664224
2022-03-30,1.3973303092100475,0,0.0,-0.010208610741233914,4.06392694063927,1.2645649733166353
2022-03-31,1.3973303092100475,0,0.0,-0.010208610741233914,3.9474885844748857,1.255200751706038
2022-04-01,1.3973303092100475,0,0.0,-0.010208610741233914,4.06392694063927,1.2711221876048764
2022-04-06,1.3973303092100475,0,0.0,-0.010208610741233914,4.045662100456621,1.2674608607818896
2022-04-07,1.3973303092100475,0,0.0,-0.010208610741233914,3.9726027397260273,1.251188660439508
2022-04-08,1.3973303092100475,0,0.0,-0.010208610741233914,4.06392694063927,1.2576293495905715
2022-04-11,1.3973303092100475,0,0.0,-0.010208610741233914,3.8493150684931505,1.2187786203721014
2022-04-12,1.3973303092100475,0,0.0,-0.010208610741233914,4.082191780821917,1.2425304265860424
2022-04-13,1.3973303092100475,0,0.0,-0.010208610741233914,4.041095890410959,1.2305699535772177
2022-04-14,1.3973303092100475,0,0.0,-0.010208610741233914,4.178082191780822,1.2459771331308611
2022-04-15,1.3973303092100475,0,0.0,-0.010208610741233914,4.191780821917808,1.2451385683043898
2022-04-18,1.3973303092100475,0,0.0,-0.010208610741233914,4.0867579908675795,1.238490987583236
2022-04-19,1.3973303092100475,0,0.0,-0.010208610741233914,4.041095890410959,1.2291327111326986
2022-04-20,1.3973303092100475,0,0.0,-0.010208610741233914,3.865296803652968,1.2100746087861738
2022-04-21,1.3973303092100475,0,0.0,-0.010208610741233914,3.8812785388127855,1.1877924461390792
2022-04-22,1.3973303092100475,0,0.0,-0.010208610741233914,3.910958904109589,1.1929706805513898
2022-04-25,1.3973303092100475,0,0.0,-0.010208610741233914,3.8767123287671237,1.1340134200098035
2022-04-26,1.3973303092100475,0,0.0,-0.010208610741233914,3.8926940639269407,1.124859954323335
2022-04-27,1.3973303092100475,0,0.0,-0.010208610741233914,4.059360730593608,1.1579792519859065
2022-04-28,1.3973303092100475,0,0.0,-0.010208610741233914,3.9474885844748857,1.1655804363806934
2022-04-29,1.3973303092100475,0,0.0,-0.010208610741233914,4.2716894977168955,1.1938597792383714
2022-05-05,1.3973303092100475,0,0.0,-0.010208610741233914,4.200913242009133,1.1920670162222609
